"slug","category","city","campaignUrl"
"location-eventi-valle-d-aosta","Location","Valle d'Aosta","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=location-eventi_valle-d-aosta&utm_content=cta_landing#gbc165"
"catering-eventi-valle-d-aosta","Catering e Gastronomia","Valle d'Aosta","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=catering-eventi_valle-d-aosta&utm_content=cta_landing#gbc165"
"musica-eventi-valle-d-aosta","Musica","Valle d'Aosta","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=musica-eventi_valle-d-aosta&utm_content=cta_landing#gbc165"
"intrattenimento-eventi-valle-d-aosta","Intrattenimento","Valle d'Aosta","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=intrattenimento-eventi_valle-d-aosta&utm_content=cta_landing#gbc165"
"fotografi-videomaker-eventi-valle-d-aosta","Fotografi e Videomaker","Valle d'Aosta","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fotografi-videomaker-eventi_valle-d-aosta&utm_content=cta_landing#gbc165"
"event-planner-valle-d-aosta","Event Planner","Valle d'Aosta","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=event-planner_valle-d-aosta&utm_content=cta_landing#gbc165"
"fioristi-matrimonio-eventi-valle-d-aosta","Fioristi e Allestimenti","Valle d'Aosta","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fioristi-allestimenti_valle-d-aosta&utm_content=cta_landing#gbc165"
"service-audio-luci-eventi-valle-d-aosta","Tecnici e Allestitori","Valle d'Aosta","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=service-audio-luci_valle-d-aosta&utm_content=cta_landing#gbc165"
"trasporti-eventi-valle-d-aosta","Trasporti","Valle d'Aosta","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=trasporti-eventi_valle-d-aosta&utm_content=cta_landing#gbc165"
"location-eventi-piemonte","Location","Piemonte","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=location-eventi_piemonte&utm_content=cta_landing#gbc165"
"catering-eventi-piemonte","Catering e Gastronomia","Piemonte","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=catering-eventi_piemonte&utm_content=cta_landing#gbc165"
"musica-eventi-piemonte","Musica","Piemonte","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=musica-eventi_piemonte&utm_content=cta_landing#gbc165"
"intrattenimento-eventi-piemonte","Intrattenimento","Piemonte","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=intrattenimento-eventi_piemonte&utm_content=cta_landing#gbc165"
"fotografi-videomaker-eventi-piemonte","Fotografi e Videomaker","Piemonte","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fotografi-videomaker-eventi_piemonte&utm_content=cta_landing#gbc165"
"event-planner-piemonte","Event Planner","Piemonte","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=event-planner_piemonte&utm_content=cta_landing#gbc165"
"fioristi-matrimonio-eventi-piemonte","Fioristi e Allestimenti","Piemonte","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fioristi-allestimenti_piemonte&utm_content=cta_landing#gbc165"
"service-audio-luci-eventi-piemonte","Tecnici e Allestitori","Piemonte","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=service-audio-luci_piemonte&utm_content=cta_landing#gbc165"
"trasporti-eventi-piemonte","Trasporti","Piemonte","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=trasporti-eventi_piemonte&utm_content=cta_landing#gbc165"
"location-eventi-liguria","Location","Liguria","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=location-eventi_liguria&utm_content=cta_landing#gbc165"
"catering-eventi-liguria","Catering e Gastronomia","Liguria","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=catering-eventi_liguria&utm_content=cta_landing#gbc165"
"musica-eventi-liguria","Musica","Liguria","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=musica-eventi_liguria&utm_content=cta_landing#gbc165"
"intrattenimento-eventi-liguria","Intrattenimento","Liguria","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=intrattenimento-eventi_liguria&utm_content=cta_landing#gbc165"
"fotografi-videomaker-eventi-liguria","Fotografi e Videomaker","Liguria","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fotografi-videomaker-eventi_liguria&utm_content=cta_landing#gbc165"
"event-planner-liguria","Event Planner","Liguria","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=event-planner_liguria&utm_content=cta_landing#gbc165"
"fioristi-matrimonio-eventi-liguria","Fioristi e Allestimenti","Liguria","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fioristi-allestimenti_liguria&utm_content=cta_landing#gbc165"
"service-audio-luci-eventi-liguria","Tecnici e Allestitori","Liguria","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=service-audio-luci_liguria&utm_content=cta_landing#gbc165"
"trasporti-eventi-liguria","Trasporti","Liguria","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=trasporti-eventi_liguria&utm_content=cta_landing#gbc165"
"location-eventi-lombardia","Location","Lombardia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=location-eventi_lombardia&utm_content=cta_landing#gbc165"
"catering-eventi-lombardia","Catering e Gastronomia","Lombardia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=catering-eventi_lombardia&utm_content=cta_landing#gbc165"
"musica-eventi-lombardia","Musica","Lombardia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=musica-eventi_lombardia&utm_content=cta_landing#gbc165"
"intrattenimento-eventi-lombardia","Intrattenimento","Lombardia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=intrattenimento-eventi_lombardia&utm_content=cta_landing#gbc165"
"fotografi-videomaker-eventi-lombardia","Fotografi e Videomaker","Lombardia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fotografi-videomaker-eventi_lombardia&utm_content=cta_landing#gbc165"
"event-planner-lombardia","Event Planner","Lombardia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=event-planner_lombardia&utm_content=cta_landing#gbc165"
"fioristi-matrimonio-eventi-lombardia","Fioristi e Allestimenti","Lombardia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fioristi-allestimenti_lombardia&utm_content=cta_landing#gbc165"
"service-audio-luci-eventi-lombardia","Tecnici e Allestitori","Lombardia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=service-audio-luci_lombardia&utm_content=cta_landing#gbc165"
"trasporti-eventi-lombardia","Trasporti","Lombardia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=trasporti-eventi_lombardia&utm_content=cta_landing#gbc165"
"location-eventi-trentino-alto-adige","Location","Trentino-Alto Adige","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=location-eventi_trentino-alto-adige&utm_content=cta_landing#gbc165"
